date,steps,low_activity
2018-08-18,377,True
2018-08-19,245,True
2018-08-20,9620,False
2018-08-21,11601,False
2018-08-22,7292,False
2018-08-23,264,True
2018-08-24,5350,False
2018-08-25,4888,False
2018-08-26,5758,False
2018-08-27,9775,False
2018-08-28,10091,False
2018-09-09,14,True
2018-09-12,26,True
2018-09-17,46,True
2018-09-22,37,True
2019-01-16,26,True
2019-01-18,2732,True
2019-01-19,754,True
2019-01-20,430,True
2019-01-21,260,True
2019-01-22,4926,False
2019-01-23,7173,False
2019-01-24,4320,False
2019-01-25,3084,True
2019-01-26,2857,True
2019-01-27,3294,True
2019-01-28,4257,False
2019-01-29,4060,False
2019-01-30,1740,True
2019-01-31,5376,False
2019-02-01,6621,False
2019-02-02,269,True
2019-02-03,3998,True
2019-02-04,4133,False
2019-02-05,2981,True
2019-02-06,12141,False
2019-02-07,3836,True
2019-02-08,5601,False
2019-02-09,528,True
2019-02-10,1815,True
2019-02-11,4524,False
2019-02-12,2184,True
2019-02-13,7597,False
2019-02-14,18073,False
2019-02-15,24213,False
2019-02-16,23925,False
2019-02-17,21655,False
2019-02-18,27595,False
2019-02-19,19904,False
2019-02-20,7099,False
2019-02-21,1640,True
2019-02-22,8089,False
2019-02-23,765,True
2019-02-24,2315,True
2019-02-25,3985,True
2019-02-26,4046,False
2019-02-27,4103,False
2019-02-28,4806,False
2019-03-01,5845,False
2019-03-02,3525,True
2019-03-03,3729,True
2019-03-04,3094,True
2019-03-05,5246,False
2019-03-06,6581,False
2019-03-07,4418,False
2019-03-08,2938,True
2019-03-09,2694,True
2019-03-10,2225,True
2019-03-11,3971,True
2019-03-12,5037,False
2019-03-13,3120,True
2019-03-14,5810,False
2019-03-15,2302,True
2019-03-16,788,True
2019-03-17,6716,False
2019-03-18,2856,True
2019-03-19,5786,False
2019-03-20,3996,True
2019-03-21,5162,False
2019-03-22,1708,True
2019-03-23,459,True
2019-03-24,2231,True
2019-03-25,6580,False
2019-03-26,6776,False
2019-03-27,1030,True
2019-03-28,9153,False
2019-03-29,5824,False
2019-03-30,5252,False
2019-03-31,5181,False
2019-04-01,5173,False
2019-04-02,7249,False
2019-04-03,6393,False
2019-04-04,7269,False
2019-04-05,2059,True
2019-04-06,1485,True
2019-04-07,3828,True
2019-04-08,2272,True
2019-04-09,8795,False
2019-04-10,5770,False
2019-04-11,6151,False
2019-04-12,2781,True
2019-04-13,2636,True
2019-04-14,744,True
2019-04-15,1330,True
2019-04-16,8093,False
2019-04-17,9271,False
2019-04-18,8043,False
2019-04-19,312,True
2019-04-20,1411,True
2019-04-21,4869,False
2019-04-22,5348,False
2019-04-23,7536,False
2019-04-24,7614,False
2019-04-25,6523,False
2019-04-26,5423,False
2019-04-27,3769,True
2019-04-28,2642,True
2019-04-29,5794,False
2019-04-30,6356,False
2019-05-01,5649,False
2019-05-02,3119,True
2019-05-03,5234,False
2019-05-04,5278,False
2019-05-05,3255,True
2019-05-06,5657,False
2019-05-07,5194,False
2019-05-08,7493,False
2019-05-09,2849,True
2019-05-10,3988,True
2019-05-11,5346,False
2019-05-12,3817,True
2019-05-13,4887,False
2019-05-14,4977,False
2019-05-15,5639,False
2019-05-16,2291,True
2019-05-17,10075,False
2019-05-18,4158,False
2019-05-19,4096,False
2019-05-20,6625,False
2019-05-21,4029,False
2019-05-22,5119,False
2019-05-23,11385,False
2019-05-24,6179,False
2019-05-25,6652,False
2019-05-26,1065,True
2019-05-27,7188,False
2019-05-28,5520,False
2019-05-29,7400,False
2019-05-30,3592,True
2019-05-31,6524,False
2019-06-01,7744,False
2019-06-02,5935,False
2019-06-03,6125,False
2019-06-04,10477,False
2019-06-05,9400,False
2019-06-06,3587,True
2019-06-07,3292,True
2019-06-08,3331,True
2019-06-09,5899,False
2019-06-10,1304,True
2019-06-11,2229,True
2019-06-12,5828,False
